X,jobTitle
entry common relevant degree equivalent qualification professional qualification available mandatory actuarial occupations jobholder unit group apply theoretical principle practical technique ass risk formulate probabilistic outcome order inform economic business policy analyse interpret data assist formulation financial business economic policy order maximise growth improve business performance actuarial consultant actuary economist statistician statistical analyst ass objective requirement organisation seeking advice variety technique theoretical principle establish probability risk respect eg life insurance pension appropriate technique theoretical principle determine appropriate method data collection research methodology analyse interpret information gained formulate recommendation issue future trend improved efficiency design manages survey statistical technique order analyse interpret quantitative data collected provides economic statistical advice government commercial enterprise organisation client light research finding address seminar conference medium present result research activity express professional views minor group business research administrative professional sub major group business medium public service professional major group professional occupation," ACTUARIES, ECONOMISTS AND STATISTICIANS"
academic qualification required candidate require relevant driving licence operate vehicle public roads variety nvqssvqs agriculture available incorporates operation agricultural machinery apprenticeship available areas job holder unit group operate drive tractor combine harvester farm vehicle clear cultivate land sow harvest plant crops agricultural machinist attendant agricultural machinery operator agricultural machinery tractor driver agriculture attache plough cultivator distributor mower baler implement tractor adjusts depth speed height attached implement according requirement drive operates machinery plough fertilise plant cultivate harvest crop service maintains equipment carry minor repairs minor group mobile machine driver operative sub major group transport mobile machine driver operative major group process plant machine operative, AGRICULTURAL MACHINERY DRIVERS
entrant require gcsess grade levelsh grade btecsqa award advanced gnvqgsvq level iii academic requirement lowered relevant aviation experience whilst entrant begin training obtaining licence earlier year age apply student licence years air traffic controller licence issued individual year age candidate good eyesight hearing speech defects entrant required undergo medical examination training week consists course study followed supervised practical experience leading award civil aviation authority licence air traffic controller prepare flight plan authorise flight departure arrival maintain radio radar andor visual contact aircraft ensure safe movement air traffic air traffic control officer air traffic controller air traffic service assistant flight planner maintains radio andor radar visual contact aircraft liaises air traffic controller control centre direct aircraft controlled airspace holding area ready landing directs movement aircraft en route destination ensures minimum distance maintained plane landing instruction pilot monitor descent aircraft directs movement aircraft motor vehicle runway taxiway parking bay obtains information weather condition navigational hazard landing condition seating arrangement loading cargo fuel catering supply calculates fuel consumption optimum flying height plan route prepares flight plan aircraft pilot discus operational requirement pilot issue duty schedule flight deck cabin crew maintains record flight progress authorises flight departure handle emergency unscheduled traffic unanticipated incidents minor group transport associate professional sub major group business public service associate professional major group associate professional technical occupation, AIR TRAFFIC CONTROLLERS
formal academic entry requirement employer request gcsess grades training apprenticeship btec city guild specialised qualification jobholder unit group install service repair airconditioning refrigeration system factory office shop homes air conditioning engineer air conditioning fitter refrigeration engineer refrigeration technician service engineer refrigeration examines proposed site establish installation plan practical plan layout system pipework duct control panel produce detailed estimate cost work plan work schedule installs system inspects test installation carry maintenance check repairs minor group metal machining fitting instrument making trade sub major group skilled metal electrical electronic trade major group skilled trade occupation, AIR-CONDITIONING AND REFRIGERATION ENGINEERS
entrant usually posse gcsess grade gnvq gsvq btecsqa award apprenticeship engineering maintenance nvqsvq level available nvqssvqs aircraft engineering maintenance available level jobholder unit group fit service repair overhaul aircraft engine assemblies licensed aircraft engineer coded unit group aeronautical engineer aircraft electrician aircraft engineer aircraft fitter aircraft mechanic maintenance engineer aircraft examines drawing manual specification determine appropriate method sequence operation fit assembles andor metal subassembly fine tolerance aircraft engine replaces engine component complete engine installs test electrical electronic component system aircraft examines inspects airframe aircraft component including landing gear hydraulic system deicer detect wear crack break leak problem maintains repair rebuilds aircraft structure functional component maintains comprehensive repair logs minor group vehicle trade sub major group skilled metal electrical electronic trade major group skilled trade occupation, AIRCRAFT MAINTENANCE AND RELATED TRADES
entrant gcsess grade levelsh grade advanced gnvqgsvq level iii btec sqa award apply airline sponsorship private residential training available candidate gcsess grade appropriate btecsqa gnvqgsvq award holder private pilot licence hour flying experience normal colour vision required candidate undergo medical examination training month consists course study flying instruction airline additional age height requirements aircraft flight deck officer check regulate adjust test engine equipment prior takeoff navigate pilot aircraft flying lessons airline pilot officer airline flight engineer flying instructor helicopter pilot study flight plan discus flight deck crew necessary adjustmentsdirects undertakes routine check engine instrument control panel cargo distribution fuel supply directs undertakes operation control fly aeroplane helicopter complying air traffic control aircraft operating procedure monitor fuel consumption air pressure engine performance indicator flight advises pilot factor affect navigation performance aircraft maintains radio contact discus weather condition air traffic controller performs specified test determine aircraftï¿½s stability response control overall performance accompanies pupil training flight demonstrates flying techniques minor group transport associate professional sub major group business public service associate professional major group associate professional technical occupation, AIRCRAFT PILOTS AND FLIGHT ENGINEERS
entrant require professional qualification architecture encompass accredited degree postgraduate qualification year practical experience architect plan design construction development building land area regard functional aesthetic requirements architect architectural consultant chartered architect landscape architect liaises client professional establish building type style cost limitation landscaping requirement study condition characteristic site taking account drainage topsoil tree rock formation etc analysis site survey advises client development construction detail ensures proposed design blend surrounding area prepares detailed scale drawing specification designï¿½and construction submits planning approval monitor construction work progress ensure compliance specifications minor group architect town planner surveyor sub major group business medium public service professional major group professional occupation, ARCHITECTS
entrant posse variety qualification including gcsess grade btecsqa award advanced gnvqgsvq level iii degree professional qualification available membership professional institution required posts architectural town planning technician perform variety technical support function assist architect planner design building layout urban rural areas architectural assistant architectural technician construction planner planning enforcement officer investigates proposed design regard practicality cost use prepares building plan drawing specification use contractorsliaises engineer building contractor technical construction problem attends site meeting behalf architect survey land property prepares report planning authority issue development permit authorised check completed work conforms specifications minor group draught person related architectural technician sub major group science engineering technology associate professional major group associate professional technical occupation, ARCHITECTURAL AND TOWN PLANNING TECHNICIANS
formal academic entry requirements training typically provided onthejob supplemented short courses nvqssvqs electronic product assembly available levelï¿½1 jobholder unit group wire prepared andor subassembly manufacture electrical electronic equipment coil wiring harness assemble previously prepared batch mass production electrical electronic good components assembler electrical electronic equipment m fr line operator electrical solder er team leader electrical electronic equipment m fr assembly technical operator circuit board m fr examines drawing specification wiring diagram identify appropriate material sequence operation selects cut connects wire appropriate terminal crimping soldering position secures switch transformer tag valve holder connects capacitor resistor transistor subassembly appropriate terminal soldering lay secures wire harness operates machine wind heavy light coil wire copper transformer armature rotor stator light electrical equipment assembles previously prepared electrical electronic component winding bolting screwing fastening assembly machine hand tools minor group assembler routine operative sub major group process plant machine operative major group process plant machine operative, ASSEMBLERS (ELECTRICAL AND ELECTRONIC PRODUCTS)
academic qualification required case candidate aptitude dexterity tests normal colour vision required jobs training varies according complexity work jobholder unit group undertake routine assembly vehicle metal good component frame axle wire brush wheels assembler metal trade line worker vehicle m fr manufacturing operator metal trade process worker metal trade assembly team leader motor vehicle m fr assembly ï¿½ï¿½ï¿½ï¿½ï¿½follows instruction drawing position component work bench assembly machine ï¿½ï¿½ï¿½ï¿½ï¿½assembles prepared component sequence soldering bolting fastening spotwelding screwing hammering power hand tool assembly machine ï¿½ï¿½ï¿½ï¿½ï¿½rejects faulty assembly component ï¿½ï¿½ï¿½ï¿½ï¿½inspects finished article fault monitor assembly machine operation report faults minor group assembler routine operative sub major group process plant machine operative major group process plant machine operative, ASSEMBLERS (VEHICLES AND METAL GOODS)
formal academic entry requirement employer require gcsess grades employer set dexterity aptitude test entrants normal colour vision required posts nvqssvqs level available variety areas jobholder unit group perform assembly routine operative task classified minor group assembler routine operatives assembler glue r furniture m fr paint line operator production assistant rivet er soft toy m fr follows instruction drawing position component work bench assembly machine assembles prepared component sequence soldering bolting fastening spotwelding screwing nailing stapling dipping fastening power hand tool assembly machine reject faulty assembly component inspects finished article fault monitor assembly machine operation report fault applies enamel jewellery coat lacquer dip touch article ceramic set operates machine apply colour wallpaper coat article ceramic paint cellulose protective decorative material performs miscellaneous painting coating task classified including staining article applying transfer operating french polishing machine removing surplus enamel component marking design outline articles minor group assembler routine operative sub major group process plant machine operative major group process plant machine operative, ASSEMBLERS AND ROUTINE OPERATIVES N.E.C.
entry possible variety academic qualification andor relevant experience postgraduate professional qualification available required occupations job holder unit group write edit evaluate literary material publication excluding material newspaper magazine periodical including script narrative film tv radio computer game animation translate spoken written statement different languages copywriter editor book interpreter technical author translator writer determines subject matter research necessary interviewing attending public event seeking record observing etc generates develops creative idea literary material selects material publication check style grammar accuracy content arranges necessary revision check proof copy printing negotiates contract freelance agent buyer behalf writer writes instruction manual user guide technical report catalogue index prepares sale literature writes technical article trade journalsconverts document spoken statement original source language language provides communication support hard hearing visually impaired minor group artistic literary medium occupation sub major group culture medium sport occupation major group associate professional technical occupation," AUTHORS, WRITERS AND TRANSLATORS"
entrant usually posse degree entry possible appropriate btecsqa award advanced gnvqgsvq level iii academic qualifications specialist training provided job employer expect entrant gain professional qualifications biological scientist biochemist examine investigate morphology structure chemistry physical characteristic living organism including interrelationships environment diseases biomedical scientist forensic scientist horticulturist microbiologist pathologist study physical chemical form structure composition function living organism identifies study chemical substance including microbial infection involved physiological process progress disease performs test study physiological pathological characteristic cell organism research effect internal external environmental factor life process function living organism observes structure community organism laboratory natural environment advises farmer medical staff nature field crop livestock produce treatment prevention disease monitor distribution presence behaviour plant animal aquatic life performs scientific task related conservation performed jobholder minor group conservation environment professionals minor group natural social science professional sub major group science research engineering technology professional major group professional occupation, BIOLOGICAL SCIENTISTS AND BIOCHEMISTS
entrant typically posse gcsess grades training usually apprenticeship including practical experience technical training apprenticeship relevant aspect engineering construction available nvqsvq level boat ship builder repairer construct install repair wooden structure fitting shape position rivet seal metal plate girder form metal structure framework marine craft boat builder fitter boat building frame turner ship building marine engineer ship s joiner shipwright examines drawing specification determine job requirement rule scribe punch mark metal plate guideline reference point cut plate appropriate tool machine tool bend curve punch drill straighten metal plate required position aligns metal platework frame welding bolting rivet metal plate girder seal seam smoothes weld fix metal door collar porthole tank hatch cover selects measure appropriate wood cut shape drill specification saw plane chisel power hand tool aligns fix prepared wood piece screwing nailing gluing dowelling form decking small wooden marine craft interior fitting maintains repair woodwork fittings minor group vehicle trade sub major group skilled metal electrical electronic trade major group skilled trade occupation, BOAT AND SHIP BUILDERS AND REPAIRERS
formal academic entry requirement gcsess grade advantageous entry typically apprenticeship traineeship approved constructionskills leading nvqsvq general construction level bricklayer mason erect repair structure stone brick similar material cut shape polish granite marble slate stone building ornamental purposes bricklayer dry stone waller stone mason examines drawing photograph specification determine job requirement mark cut stone hammer mallet hand pneumatic chisel spread mortar foundation brick place level aligns brick mortar bed hand power tool shape trim carve cut letter polish stone level aligns embeds stone mortar face brick concrete steel frame stone repair structures minor group construction building trade sub major group skilled construction building trade major group skilled trade occupation, BRICKLAYERS AND MASONS
