Entry requirements of this job:,Job description:,Jobs related to this code:,NS-SEC categorisations:,Tasks required by this job include:,This unit group is part of:,jobId,jobTitle
Entry does not depend on academic qualifications although some drama schools require candidates to have GCSEs/S grades or A levels/H grades or a degree. Entry can be based upon an audition. Membership of the appropriate trade union is usually required. NVQs/SVQs in performing arts are available.,"Actors, entertainers and presenters sing, portray roles in dramatic productions, perform comedy routines, gymnastic feats and tricks of illusion, train animals to perform and perform with them, and introduce and present radio and television programmes.",ActorDisc jockeyEntertainerPresenter (broadcasting)Singer,"The simplified NS-SEC analytic class for this code is 2The simplified NS-SEC operational category for this code is 4.3To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","studies script, play or book and prepares and rehearses interpretation;assumes character created by a playwright or author and communicates this to an audience;performs singing, comedy, acrobatic, illusion and conjuring routines;trains animals to perform entertaining routines and may perform with them;introduces and presents radio and television programmes, reads news bulletins and makes announcements;conducts interviews and prepares reports for news broadcasts, current affairs programmes and documentaries;plays pre-recorded music at nightclubs, discotheques, and private functions.","Minor Group 341: ARTISTIC, LITERARY AND MEDIA OCCUPATIONSSub-Major Group 34: CULTURE, MEDIA AND SPORTS OCCUPATIONSMajor Group 3: ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS",3413," ACTORS, ENTERTAINERS AND PRESENTERS"
Entry is most common with a relevant degree or equivalent qualification. Professional qualifications are available and mandatory for actuarial occupations.,"Jobholders in this unit group apply theoretical principles and practical techniques to assess risk and formulate probabilistic outcomes in order to inform economic and business policy, and to analyse and interpret data used to assist in the formulation of financial, business and economic policies in order to maximise growth or improve business performance.",Actuarial consultantActuaryEconomistStatisticianStatistical analyst,"The simplified NS-SEC analytic class for this code is 1.2The simplified NS-SEC operational category for this code is 3.1To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","assesses the objectives and requirements of the organisation seeking advice;uses a variety of techniques and theoretical principles to establish probability and risk in respect of e.g. life insurance or pensions;uses appropriate techniques and theoretical principles to determine an appropriate method of data collection and research methodology, analyse and interpret information gained and formulate recommendations on issues such as future trends, improved efficiency;designs and manages surveys and uses statistical techniques in order to analyse and interpret the quantitative data collected;provides economic or statistical advice to governments, commercial enterprises, organisations and other clients in light of research findings;addresses seminars, conferences and the media to present results of research activity or to express professional views.","Minor Group 242: BUSINESS, RESEARCH AND ADMINISTRATIVE PROFESSIONALSSub-Major Group 24: BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALSMajor Group 2: PROFESSIONAL OCCUPATIONS",2425," ACTUARIES, ECONOMISTS AND STATISTICIANS"
"Entry is generally via career progression from related occupations. There are no pre-set entry standards, but in practice most directors hold a degree. Off- and on-the-job training is provided.","Advertising accounts managers and creative directors plan, design, organise and direct the advertising activities of an organisation.",Account manager (advertising)Advertising ManagerCampaign ManagerCreative DirectorProjects Manager (advertising),"The simplified NS-SEC analytic class for this code is 2The simplified NS-SEC operational category for this code is 4.2To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","liaises with client to discuss product/service to be marketed, defines target group and assesses the suitability of various media;conceives advertising campaign to impart the desired product image in an effective and economical way;reviews and revises campaign in light of sales figures, surveys, etc.;stays abreast of changes in media, readership or viewing figures and advertising rates;arranges conferences, exhibitions, seminars, etc. to promote the image of a product, service or organisation.","Minor Group 247: MEDIA PROFESSIONALSSub-Major Group 24: BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALSMajor Group 2: PROFESSIONAL OCCUPATIONS",2473, ADVERTISING ACCOUNTS MANAGERS AND CREATIVE DIRECTORS
"Entry is generally via career progression from related occupations (e.g. Advertising Accounts Manager, Public Relations Officer) and although there are no pre-set entry standards, in practice most advertising and public relations directors hold a degree. Off- and on-the-job training is provided.","Advertising and public relations directors plan, organise, direct and co-ordinate the advertising, public relations and public information activities of an organisation.",Account director (advertising)Head of public relations,"The simplified NS-SEC analytic class for this code is 1.1The simplified NS-SEC operational category for this code is 2To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","liaises with client to discuss product/service to be marketed and develops the most appropriate strategy to deliver the objectives;defines target group and implements strategy through appropriate media planning work;conceives advertising campaign to impart the desired product image in an effective and economical way;reviews and revises campaign strategy in light of sales figures, surveys, etc. and takes appropriate corrective measures if necessary;stays abreast of changes in media, readership or viewing figures and advertising rates;directs the arranging of conferences, exhibitions, seminars, etc. to promote the image of a product, service or organisation.","Minor Group 113: FUNCTIONAL MANAGERS AND DIRECTORSSub-Major Group 11: CORPORATE MANAGERS AND DIRECTORSMajor Group 1: MANAGERS, DIRECTORS AND SENIOR OFFICIALS",1134, ADVERTISING AND PUBLIC RELATIONS DIRECTORS
"No formal academic qualifications are required. Training is typically received on-the-job. A variety of vocational and academic qualifications in fish farming, forestry, horse and other animal care are available. Professional qualifications are also available and may be mandatory in some areas.",Job holders in this unit group perform a variety of agricultural and fishing tasks not elsewhere classified in MINOR GROUP 511: Agricultural and Related Trades.,Aboricultural consultantBee farmerGamekeeperShare fishermanTrawler skipperTree surgeon,"The simplified NS-SEC analytic class for this code is 4The simplified NS-SEC operational category for this code is 9.2To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","nets river fish and feeds and maintains them in spawning pens, cultivates and harvests oysters, mussels and clams on natural and artificial beds, treats water and diseased fish, and empties and cleans outdoor tanks;navigates and maintains shipping vessels, assists with the shooting, hauling and repairing of fishing nets, prepares, lays and empties baited pots, and guts, sorts and stows fish;establishes and maintains forest nurseries, forestry and woodland, and diagnoses and treats diseased trees;patrols a designated area of the countryside to monitor damage, erosion, access to rights of way and the state of footpaths and other facilities, and carries out remedial maintenance work as necessary;monitors and maintains the level of wildfowl on public and private estates.",Minor Group 511: AGRICULTURAL AND RELATED TRADESSub-Major Group 51: SKILLED AGRICULTURAL AND RELATED TRADESMajor Group 5: SKILLED TRADES OCCUPATIONS,5119, AGRICULTURAL AND FISHING TRADES N.E.C.
No academic qualifications are required. Candidates will require the relevant driving licence to operate vehicles on public roads. A variety of NVQs/SVQs in Agriculture is available that incorporates the operation of agricultural machinery. Apprenticeships may be available in some areas.,"Job holders in this unit group operate and drive tractors, combine harvesters or other farm vehicles to clear and cultivate land and to sow and harvest plants and crops.",Agricultural machinistAttendant (agricultural machinery)Operator (agricultural machinery)Tractor driver (agriculture),"The simplified NS-SEC analytic class for this code is 6The simplified NS-SEC operational category for this code is 12.5To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","attaches plough, cultivator, distributor, mower, baler or other implement to tractor;adjusts depth, speed and height of attached implement according to requirements;drives and operates machinery to plough, fertilise, plant, cultivate or harvest crops;services and maintains equipment and carries out any minor repairs.","Minor Group 822: MOBILE MACHINE DRIVERS AND OPERATIVESSub-Major Group 82: TRANSPORT AND MOBILE MACHINE DRIVERS AND OPERATIVESMajor Group 8: PROCESS, PLANT AND MACHINE OPERATIVES",8223, AGRICULTURAL MACHINERY DRIVERS
"Entrants require GCSEs/S grades and A levels/H grades, a BTEC/SQA award or an Advanced GNVQ/GSVQ Level III. Academic requirements may be lowered for those with relevant aviation experience. Whilst entrants may begin training towards obtaining a licence earlier than 18 years of age, they may not apply for a Student Licence before 18 years. A full air traffic controller licence can only be issued to individuals of at least 21 years of age. Candidates must have good eyesight and no hearing or speech defects. Entrants are required to undergo a medical examination. Training lasts 74 weeks and consists of courses of study followed by supervised practical experience leading to the award of a Civil Aviation Authority licence.","Air traffic controllers prepare flight plans, authorise flight departures and arrivals and maintain radio, radar and/or visual contact with aircraft to ensure the safe movement of air traffic.",Air traffic control officerAir traffic controllerAir traffic services assistantFlight planner,"The simplified NS-SEC analytic class for this code is 2The simplified NS-SEC operational category for this code is 4.1To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","maintains radio and/or radar or visual contact with aircraft and liaises with other air traffic controllers and control centres to direct aircraft in and out of controlled airspace and into holding areas ready for landing;directs the movement of aircraft en route to its destination and ensures minimum distances are maintained between planes;gives landing instructions to pilot and monitors descent of aircraft;directs movement of aircraft and motor vehicles on runways, taxiways and in parking bays;obtains information regarding weather conditions, navigational hazards, landing conditions, seating arrangements, loading of cargo, fuel and catering supplies;calculates fuel consumption and optimum flying height, plans route and prepares flight plan for aircraft pilot;discusses operational requirements with pilot, issues duty schedules for flight deck and cabin crews, maintains records of flight progress and authorises flight departure;handles emergencies, unscheduled traffic and other unanticipated incidents.",Minor Group 351: TRANSPORT ASSOCIATE PROFESSIONALSSub-Major Group 35: BUSINESS AND PUBLIC SERVICE ASSOCIATE PROFESSIONALSMajor Group 3: ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,3511, AIR TRAFFIC CONTROLLERS
"There are no formal academic entry requirements, though employers may require entrants to possess GCSEs/S grades for some posts. Training is provided off- and on-the-job. NVQs/SVQs in Providing Airside Ramp Operations are available at Level�2.","Air transport operatives refuel, load and unload aircraft, direct the movement of aircraft at airports, and positions gangways or staircases to allow passengers to board and disembark aircraft.",Aircraft dispatcherBaggage handlerCargo handler (airport)Ramp agentRefueller (airport),"The simplified NS-SEC analytic class for this code is 5The simplified NS-SEC operational category for this code is 11.2To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","refuels aircraft from mobile tankers;directs the ground movement of aircraft at airports;loads and unloads conveyor belts to transport luggage between terminal buildings and aircraft, monitors conveyor belts and clears any blockages;loads aircraft with luggage, in-flight meals, refreshments and other items;operates retractable gangway or positions mobile staircases to enable passengers and crew to board and disembark aircraft.","Minor Group 823: OTHER DRIVERS AND TRANSPORT OPERATIVESSub-Major Group 82: TRANSPORT AND MOBILE MACHINE DRIVERS AND OPERATIVESMajor Group 8: PROCESS, PLANT AND MACHINE OPERATIVES",8233, AIR TRANSPORT OPERATIVES
Entrants usually possess GCSEs/S grades. Fluency in a foreign language may also be required in some posts. Training typically lasts between 3 to 6 weeks followed by a 6 to 12 month probationary period of on-the-job training.,"Air travel assistants issue travel tickets and boarding passes, examine other documentation, provide information and assistance at airport terminals and look after the welfare, comfort and safety of passengers travelling in aircraft.",Air hostessCabin crewCustomer service agent (travel)Flight attendantPassenger service agent,"The simplified NS-SEC analytic class for this code is 3The simplified NS-SEC operational category for this code is 7.2To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","receives passengers at airport terminal, examines tickets and other documentation, checks in luggage and distributes boarding passes;checks emergency equipment, distributes reading material, blankets and other items, and ensures that the aircraft is ready for the receipt of passengers;welcomes passengers on board the aircraft, guides them to their seats and assists with any hand luggage;ensures that sufficient stocks of meals and beverages are on board the aircraft prior to take off and serves passengers during the flight;sells duty-free goods during the flight;makes announcements on behalf of the pilot, demonstrates the use of emergency equipment and checks that safety belts are fastened;directs and instructs passengers in the event of an emergency, ensures safety procedures are followed.","Minor Group 621: LEISURE AND TRAVEL SERVICESSub-Major Group 62: LEISURE, TRAVEL AND RELATED PERSONAL SERVICE OCCUPATIONSMajor Group 6: CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",6214, AIR TRAVEL ASSISTANTS
"There are no formal academic entry requirements although some employers may request GCSEs/S grades. Training is via an apprenticeship, or BTEC, City & Guilds or other specialised qualification.","Jobholders in this unit group install, service and repair air-conditioning and refrigeration systems in factories, offices, shops and homes.",Air conditioning engineerAir conditioning fitterRefrigeration engineerRefrigeration technicianService engineer (refrigeration),"The simplified NS-SEC analytic class for this code is 6The simplified NS-SEC operational category for this code is 12.3To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","examines the proposed site to establish if installation plans are practical;plans layout of the system (pipework, ducts and control panels);produces detailed estimate of costs of the work;plans work schedule and installs the system;inspects and tests the installation;carries our maintenance checks and repairs.","Minor Group 522: METAL MACHINING, FITTING AND INSTRUMENT MAKING TRADESSub-Major Group 52: SKILLED METAL, ELECTRICAL AND ELECTRONIC TRADESMajor Group 5: SKILLED TRADES OCCUPATIONS",5225, AIR-CONDITIONING AND REFRIGERATION ENGINEERS
